class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
poisonous;15.26;convex;grooves;orange;no;free;unknown;white;16.95;17.09;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;16.6;convex;grooves;orange;no;free;unknown;white;17.99;18.19;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;14.07;convex;grooves;orange;no;free;unknown;white;17.8;17.74;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.17;flat;shiny;red;no;free;unknown;white;15.77;15.98;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.64;convex;shiny;orange;no;free;unknown;white;16.53;17.2;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;15.34;convex;grooves;orange;no;free;unknown;white;17.84;18.79;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;14.85;flat;shiny;orange;no;free;unknown;white;17.71;16.89;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;winter
poisonous;14.86;convex;shiny;red;no;free;unknown;white;17.03;17.44;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;12.85;flat;grooves;orange;no;free;unknown;white;17.27;18.69;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.55;flat;grooves;red;no;free;unknown;white;16.04;16.88;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;14.17;flat;shiny;red;no;free;unknown;white;17.86;18.02;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;13.4;convex;shiny;orange;no;free;unknown;white;17.95;17.14;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;17.37;convex;shiny;orange;no;free;unknown;white;18.1;18.27;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;summer
poisonous;16.56;convex;shiny;orange;no;free;unknown;white;18.89;18.11;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
poisonous;15.37;convex;shiny;red;no;free;unknown;white;18.19;18.38;swollen;scaly;white;universal;white;ring;grooved;unknown;woods;autumn
poisonous;15.54;flat;shiny;red;no;free;unknown;white;18.26;17.87;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;15.19;convex;grooves;red;no;free;unknown;white;17.42;17.67;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;17.4;convex;shiny;orange;no;free;unknown;white;18.48;18.54;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;autumn
poisonous;16.16;convex;grooves;orange;no;free;unknown;white;19.46;18.9;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;winter
poisonous;16.93;convex;shiny;red;no;free;unknown;white;18.31;17.81;swollen;scaly;white;universal;white;ring;pendant;unknown;woods;summer
